fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin
1973-01-01,5530E,GRANADA AEROPUERTO,GRANADA,567,4.8,0,-2.8,07:00,12.4,15:15,18,0,7.2,11:12,8.1,960.5,24,952.7,04
1973-01-02,5530E,GRANADA AEROPUERTO,GRANADA,567,4,0,-3.6,07:00,11.6,15:20,18,0,2.8,17:40,7.5,963.1,11,959.9,18
1973-01-03,5530E,GRANADA AEROPUERTO,GRANADA,567,4.4,0,-4.2,06:35,13,15:30,23,0,1.9,22:38,7.3,960.9,10,957,17
1973-01-04,5530E,GRANADA AEROPUERTO,GRANADA,567,4.5,0,-3.6,07:35,12.6,15:10,18,0,6.9,19:00,8.6,959.9,10,956.1,18
1973-01-05,5530E,GRANADA AEROPUERTO,GRANADA,567,4.4,0,-3,07:20,11.8,15:50,18,,3.6,05:10,7.9,959,11,956.7,15
1973-01-06,5530E,GRANADA AEROPUERTO,GRANADA,567,4,0,-4,07:30,12,15:40,09,0,4.2,18:25,7.8,960.6,10,957.4,15
1973-01-07,5530E,GRANADA AEROPUERTO,GRANADA,567,4.9,0,-3.2,07:40,13,16:00,36,0,6.9,16:52,7.5,961.4,11,959,06
1973-01-08,5530E,GRANADA AEROPUERTO,GRANADA,567,4.8,0,-2.2,07:30,11.8,15:20,18,,6.1,17:25,7.2,961.9,09,959.1,17
1973-01-09,5530E,GRANADA AEROPUERTO,GRANADA,567,3.9,0,-4,08:00,11.8,14:30,18,,3.1,18:00,8,961.3,10,957.1,17
1973-01-10,5530E,GRANADA AEROPUERTO,GRANADA,567,3.8,0,-4,07:20,11.6,14:15,18,0,3.9,17:45,7,959.9,11,956.7,16
1973-01-11,5530E,GRANADA AEROPUERTO,GRANADA,567,5.6,0,-1,07:30,12.2,16:00,14,0,4.7,03:55,5.8,963.4,23,958.9,02
1973-01-12,5530E,GRANADA AEROPUERTO,GRANADA,567,5.9,4,-2.6,07:00,14.4,15:50,23,1.9,13.1,18:20,5.5,963.3,01,958.5,18
1973-01-13,5530E,GRANADA AEROPUERTO,GRANADA,567,8.2,8.6,6,03:00,10.4,16:40,27,3.6,10,19:14,0,959.5,01,954.7,07
1973-01-14,5530E,GRANADA AEROPUERTO,GRANADA,567,6.3,0.4,2,04:30,10.6,15:00,27,0,7.2,15:28,3.2,960.3,11,954.9,24
1973-01-15,5530E,GRANADA AEROPUERTO,GRANADA,567,7.2,1.1,4,03:30,10.4,17:00,27,1.7,9.7,13:10,1,955.5,01,953,06
1973-01-16,5530E,GRANADA AEROPUERTO,GRANADA,567,6.9,9.1,2.6,03:00,11.2,15:10,27,1.7,15.6,21:20,0,954.7,01,940.2,19
1973-01-17,5530E,GRANADA AEROPUERTO,GRANADA,567,7.6,8.4,5,03:50,10.2,16:20,27,7.8,19.7,01:30,0.1,941.9,24,937.8,13
1973-01-18,5530E,GRANADA AEROPUERTO,GRANADA,567,9,0,6.2,04:30,11.8,15:30,27,5.8,12.2,02:00,6.3,957,23,941.9,01
1973-01-19,5530E,GRANADA AEROPUERTO,GRANADA,567,5.1,4.4,0.8,07:20,9.4,15:20,09,0,3.9,19:45,0.2,957.4,11,954.1,24
1973-01-20,5530E,GRANADA AEROPUERTO,GRANADA,567,9.2,2.3,6.4,01:20,12,13:15,27,1.7,7.8,12:00,0.6,957.4,11,953.8,07
1973-01-21,5530E,GRANADA AEROPUERTO,GRANADA,567,9.1,4.6,6.8,07:00,11.4,15:30,27,0,11.4,22:50,2.8,958.7,11,955.4,02
1973-01-22,5530E,GRANADA AEROPUERTO,GRANADA,567,7,Ip,3.8,08:20,10.2,14:20,32,5,11.1,15:15,8,964.3,24,957.7,01
1973-01-23,5530E,GRANADA AEROPUERTO,GRANADA,567,6.4,0,1.4,05:20,11.4,15:00,05,,16.7,09:25,9.1,964.5,23,962.5,15
